GEO.id,GEO.id2,GEO.display-label,B25077_001E,B25077_001M
Id,Id2,Geography,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0600000US0900718080,900718080,"Cromwell town, Middlesex County, Connecticut",243300,18337
0600000US0900719130,900719130,"Deep River town, Middlesex County, Connecticut",291800,17502
0600000US0900720810,900720810,"Durham town, Middlesex County, Connecticut",332500,14833
0600000US0900722280,900722280,"East Haddam town, Middlesex County, Connecticut",297200,20126
0600000US0900722490,900722490,"East Hampton town, Middlesex County, Connecticut",265800,12459
0600000US0900726270,900726270,"Essex town, Middlesex County, Connecticut",416100,30649
0600000US0900735230,900735230,"Haddam town, Middlesex County, Connecticut",331700,19841
0600000US0900740710,900740710,"Killingworth town, Middlesex County, Connecticut",348700,22356
0600000US0900747080,900747080,"Middlefield town, Middlesex County, Connecticut",288500,13927
0600000US0900747360,900747360,"Middletown town, Middlesex County, Connecticut",234300,7077
0600000US0900757320,900757320,"Old Saybrook town, Middlesex County, Connecticut",405400,26835
0600000US0900761800,900761800,"Portland town, Middlesex County, Connecticut",240500,9081
0600000US0900781680,900781680,"Westbrook town, Middlesex County, Connecticut",364700,17202
0600000US0900900000,900900000,"County subdivisions not defined, New Haven County, Connecticut",-,**
0600000US0900901220,900901220,"Ansonia town, New Haven County, Connecticut",217800,10106
0600000US0900903250,900903250,"Beacon Falls town, New Haven County, Connecticut",251600,21791
0600000US0900904580,900904580,"Bethany town, New Haven County, Connecticut",408900,30968
0600000US0900907310,900907310,"Branford town, New Haven County, Connecticut",310800,15134
0600000US0900914160,900914160,"Cheshire town, New Haven County, Connecticut",338800,10080
0600000US0900919550,900919550,"Derby town, New Haven County, Connecticut",199300,14762
0600000US0900922910,900922910,"East Haven town, New Haven County, Connecticut",219600,5449
0600000US0900934950,900934950,"Guilford town, New Haven County, Connecticut",398400,15669
0600000US0900935650,900935650,"Hamden town, New Haven County, Connecticut",225500,6760
0600000US0900944560,900944560,"Madison town, New Haven County, Connecticut",424000,23790
0600000US0900946520,900946520,"Meriden town, New Haven County, Connecticut",171700,3236
0600000US0900946940,900946940,"Middlebury town, New Haven County, Connecticut",361400,17315
0600000US0900947535,900947535,"Milford town, New Haven County, Connecticut",321800,7140
0600000US0900949950,900949950,"Naugatuck town, New Haven County, Connecticut",187900,5824
0600000US0900952070,900952070,"New Haven town, New Haven County, Connecticut",205100,8405
0600000US0900953890,900953890,"North Branford town, New Haven County, Connecticut",303700,16177
0600000US0900954870,900954870,"North Haven town, New Haven County, Connecticut",297000,9798
0600000US0900957600,900957600,"Orange town, New Haven County, Connecticut",391500,9689
0600000US0900958300,900958300,"Oxford town, New Haven County, Connecticut",363000,16047
0600000US0900962290,900962290,"Prospect town, New Haven County, Connecticut",286000,18155
0600000US0900967610,900967610,"Seymour town, New Haven County, Connecticut",271100,15999
0600000US0900969640,900969640,"Southbury town, New Haven County, Connecticut",327800,13371
0600000US0900978740,900978740,"Wallingford town, New Haven County, Connecticut",275100,5734
0600000US0900980070,900980070,"Waterbury town, New Haven County, Connecticut",132700,3802
0600000US0900982870,900982870,"West Haven town, New Haven County, Connecticut",196800,7038
0600000US0900987560,900987560,"Wolcott town, New Haven County, Connecticut",248100,15209
0600000US0900987700,900987700,"Woodbridge town, New Haven County, Connecticut",472400,22520
0600000US0901100000,901100000,"County subdivisions not defined, New London County, Connecticut",-,**
0600000US0901106820,901106820,"Bozrah town, New London County, Connecticut",226900,27345
0600000US0901115910,901115910,"Colchester town, New London County, Connecticut",267500,12023
0600000US0901123400,901123400,"East Lyme town, New London County, Connecticut",317100,14433
0600000US0901129910,901129910,"Franklin town, New London County, Connecticut",242000,18373
0600000US0901133900,901133900,"Griswold town, New London County, Connecticut",173900,23568
0600000US0901134250,901134250,"Groton town, New London County, Connecticut",247100,13583
0600000US0901142390,901142390,"Lebanon town, New London County, Connecticut",258000,16776
0600000US0901142600,901142600,"Ledyard town, New London County, Connecticut",233700,8804
0600000US0901143230,901143230,"Lisbon town, New London County, Connecticut",245500,17581
0600000US0901144210,901144210,"Lyme town, New London County, Connecticut",538700,68307
0600000US0901148900,901148900,"Montville town, New London County, Connecticut",212300,11430
0600000US0901152350,901152350,"New London town, New London County, Connecticut",186900,15185
0600000US0901155500,901155500,"North Stonington town, New London County, Connecticut",296800,24347
0600000US0901156270,901156270,"Norwich town, New London County, Connecticut",170800,6767
0600000US0901157040,901157040,"Old Lyme town, New London County, Connecticut",395800,19445
0600000US0901162150,901162150,"Preston town, New London County, Connecticut",264100,26654
0600000US0901166210,901166210,"Salem town, New London County, Connecticut",306900,24875
0600000US0901171670,901171670,"Sprague town, New London County, Connecticut",212500,20096
0600000US0901173770,901173770,"Stonington town, New London County, Connecticut",363900,23682
0600000US0901178600,901178600,"Voluntown town, New London County, Connecticut",246400,20127
